"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"1";"Zürich";"Subventions en milliers de francs";159343;"1000 francs";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"1";"Zürich";"Subventions (en francs) par hectare**";2182;"1000 Franken";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"2";"Bern";"Subventions en milliers de francs";534547;"1000 francs";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"2";"Bern";"Subventions (en francs) par hectare**";2786;"1000 Franken";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"3";"Luzern";"Subventions en milliers de francs";231666;"1000 francs";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"3";"Luzern";"Subventions (en francs) par hectare**";3059;"1000 Franken";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"4";"Uri";"Subventions en milliers de francs";27520;"1000 francs";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"4";"Uri";"Subventions (en francs) par hectare**";4075;"1000 Franken";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"5";"Schwyz";"Subventions en milliers de francs";82208;"1000 francs";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"5";"Schwyz";"Subventions (en francs) par hectare**";3475;"1000 Franken";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"6";"Obwalden";"Subventions en milliers de francs";32800;"1000 francs";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"6";"Obwalden";"Subventions (en francs) par hectare**";4207;"1000 Franken";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"7";"Nidwalden";"Subventions en milliers de francs";22206;"1000 francs";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"7";"Nidwalden";"Subventions (en francs) par hectare**";3747;"1000 Franken";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"8";"Glarus";"Subventions en milliers de francs";27770;"1000 francs";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"8";"Glarus";"Subventions (en francs) par hectare**";3984;"1000 Franken";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"9";"Zug";"Subventions en milliers de francs";30782;"1000 francs";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"9";"Zug";"Subventions (en francs) par hectare**";2890;"1000 Franken";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"10";"Freiburg";"Subventions en milliers de francs";196229;"1000 francs";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"10";"Freiburg";"Subventions (en francs) par hectare**";2615;"1000 Franken";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"11";"Solothurn";"Subventions en milliers de francs";78257;"1000 francs";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
"11";"Solothurn";"Subventions (en francs) par hectare**";2486;"1000 Franken";"A";"Normaler Wert";"";"2018-01-01/2018-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2021-09-30";"kant";"Cantons";"1997-01-01";"22112";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22112_fr.html"
