"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"1";"Zürich";"Subventions en milliers de francs";162698;"1000 francs";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"1";"Zürich";"Subventions (en francs) par hectare**";2257;"1000 Franken";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"2";"Bern";"Subventions en milliers de francs";530749;"1000 francs";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"2";"Bern";"Subventions (en francs) par hectare**";2775;"1000 Franken";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"3";"Luzern";"Subventions en milliers de francs";235434;"1000 francs";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"3";"Luzern";"Subventions (en francs) par hectare**";3119;"1000 Franken";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"4";"Uri";"Subventions en milliers de francs";26364;"1000 francs";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"4";"Uri";"Subventions (en francs) par hectare**";3913;"1000 Franken";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"5";"Schwyz";"Subventions en milliers de francs";82292;"1000 francs";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"5";"Schwyz";"Subventions (en francs) par hectare**";3469;"1000 Franken";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"6";"Obwalden";"Subventions en milliers de francs";32942;"1000 francs";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"6";"Obwalden";"Subventions (en francs) par hectare**";4241;"1000 Franken";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"7";"Nidwalden";"Subventions en milliers de francs";22484;"1000 francs";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"7";"Nidwalden";"Subventions (en francs) par hectare**";3806;"1000 Franken";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"8";"Glarus";"Subventions en milliers de francs";28143;"1000 francs";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"8";"Glarus";"Subventions (en francs) par hectare**";4041;"1000 Franken";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"9";"Zug";"Subventions en milliers de francs";30887;"1000 francs";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"9";"Zug";"Subventions (en francs) par hectare**";2922;"1000 Franken";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"10";"Freiburg";"Subventions en milliers de francs";197188;"1000 francs";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"10";"Freiburg";"Subventions (en francs) par hectare**";2624;"1000 Franken";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"11";"Solothurn";"Subventions en milliers de francs";77763;"1000 francs";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"11";"Solothurn";"Subventions (en francs) par hectare**";2487;"1000 Franken";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"12";"Basel-Stadt";"Subventions en milliers de francs";;"1000 francs";"O";"Fehlender Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"12";"Basel-Stadt";"Subventions (en francs) par hectare**";;"1000 Franken";"O";"Fehlender Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"13";"Basel-Landschaft";"Subventions en milliers de francs";53189;"1000 francs";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"13";"Basel-Landschaft";"Subventions (en francs) par hectare**";2441;"1000 Franken";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"14";"Schaffhausen";"Subventions en milliers de francs";34766;"1000 francs";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"14";"Schaffhausen";"Subventions (en francs) par hectare**";2169;"1000 Franken";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"15";"Appenzell Ausserrhoden";"Subventions en milliers de francs";35260;"1000 francs";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"15";"Appenzell Ausserrhoden";"Subventions (en francs) par hectare**";2951;"1000 Franken";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"16";"Appenzell Innerrhoden";"Subventions en milliers de francs";22339;"1000 francs";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
"16";"Appenzell Innerrhoden";"Subventions (en francs) par hectare**";3173;"1000 Franken";"A";"Normaler Wert";"";"2022-01-01/2022-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"2022-01-01";"26488";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/26488_fr.html"
