"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"1";"Zürich";"Subventions en milliers de francs";158253;"1000 francs";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"1";"Zürich";"Subventions (en francs) par hectare**";2156;"1000 Franken";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"2";"Bern";"Subventions en milliers de francs";537492;"1000 francs";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"2";"Bern";"Subventions (en francs) par hectare**";2796;"1000 Franken";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"3";"Luzern";"Subventions en milliers de francs";229564;"1000 francs";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"3";"Luzern";"Subventions (en francs) par hectare**";3025;"1000 Franken";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"4";"Uri";"Subventions en milliers de francs";28122;"1000 francs";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"4";"Uri";"Subventions (en francs) par hectare**";4175;"1000 Franken";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"5";"Schwyz";"Subventions en milliers de francs";81626;"1000 francs";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"5";"Schwyz";"Subventions (en francs) par hectare**";3457;"1000 Franken";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"6";"Obwalden";"Subventions en milliers de francs";32810;"1000 francs";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"6";"Obwalden";"Subventions (en francs) par hectare**";4214;"1000 Franken";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"7";"Nidwalden";"Subventions en milliers de francs";22438;"1000 francs";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"7";"Nidwalden";"Subventions (en francs) par hectare**";3771;"1000 Franken";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"8";"Glarus";"Subventions en milliers de francs";27255;"1000 francs";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"8";"Glarus";"Subventions (en francs) par hectare**";3956;"1000 Franken";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"9";"Zug";"Subventions en milliers de francs";30582;"1000 francs";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"9";"Zug";"Subventions (en francs) par hectare**";2866;"1000 Franken";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"10";"Freiburg";"Subventions en milliers de francs";196479;"1000 francs";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"10";"Freiburg";"Subventions (en francs) par hectare**";2602;"1000 Franken";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"11";"Solothurn";"Subventions en milliers de francs";78657;"1000 francs";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"11";"Solothurn";"Subventions (en francs) par hectare**";2497;"1000 Franken";"A";"Normaler Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"12";"Basel-Stadt";"Subventions en milliers de francs";;"1000 francs";"O";"Fehlender Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
"12";"Basel-Stadt";"Subventions (en francs) par hectare**";;"1000 Franken";"O";"Fehlender Wert";"";"2017-01-01/2017-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-03";"kant";"Cantons";"1997-01-01";"20937";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20937_fr.html"
