"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"1";"Zürich";"Subventions en milliers de francs";161233;"1000 francs";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"1997-01-01";"25426";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/25426_fr.html"
"1";"Zürich";"Subventions (en francs) par hectare**";2232;"1000 Franken";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"1997-01-01";"25426";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/25426_fr.html"
"2";"Bern";"Subventions en milliers de francs";531963;"1000 francs";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"1997-01-01";"25426";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/25426_fr.html"
"2";"Bern";"Subventions (en francs) par hectare**";2782;"1000 Franken";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"1997-01-01";"25426";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/25426_fr.html"
"3";"Luzern";"Subventions en milliers de francs";236532;"1000 francs";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"1997-01-01";"25426";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/25426_fr.html"
"3";"Luzern";"Subventions (en francs) par hectare**";3135;"1000 Franken";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"1997-01-01";"25426";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/25426_fr.html"
"4";"Uri";"Subventions en milliers de francs";26774;"1000 francs";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"1997-01-01";"25426";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/25426_fr.html"
"4";"Uri";"Subventions (en francs) par hectare**";3978;"1000 Franken";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"1997-01-01";"25426";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/25426_fr.html"
"5";"Schwyz";"Subventions en milliers de francs";82752;"1000 francs";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"1997-01-01";"25426";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/25426_fr.html"
"5";"Schwyz";"Subventions (en francs) par hectare**";3489;"1000 Franken";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"1997-01-01";"25426";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/25426_fr.html"
"6";"Obwalden";"Subventions en milliers de francs";33154;"1000 francs";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"1997-01-01";"25426";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/25426_fr.html"
"6";"Obwalden";"Subventions (en francs) par hectare**";4269;"1000 Franken";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"1997-01-01";"25426";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/25426_fr.html"
"7";"Nidwalden";"Subventions en milliers de francs";22515;"1000 francs";"A";"Normaler Wert";"";"2021-01-01/2021-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-13";"kant";"Cantons";"1997-01-01";"25426";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/25426_fr.html"
