"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"1";"Zürich";"Subventions en milliers de francs";162294;"1000 francs";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"1";"Zürich";"Subventions (en francs) par hectare**";2252;"1000 Franken";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"2";"Bern";"Subventions en milliers de francs";532613;"1000 francs";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"2";"Bern";"Subventions (en francs) par hectare**";2784;"1000 Franken";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"3";"Luzern";"Subventions en milliers de francs";242289;"1000 francs";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"3";"Luzern";"Subventions (en francs) par hectare**";3210;"1000 Franken";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"4";"Uri";"Subventions en milliers de francs";25949;"1000 francs";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"4";"Uri";"Subventions (en francs) par hectare**";3852;"1000 Franken";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"5";"Schwyz";"Subventions en milliers de francs";84188;"1000 francs";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"5";"Schwyz";"Subventions (en francs) par hectare**";3549;"1000 Franken";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"6";"Obwalden";"Subventions en milliers de francs";33628;"1000 francs";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"6";"Obwalden";"Subventions (en francs) par hectare**";4329;"1000 Franken";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"7";"Nidwalden";"Subventions en milliers de francs";22963;"1000 francs";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"7";"Nidwalden";"Subventions (en francs) par hectare**";3887;"1000 Franken";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"8";"Glarus";"Subventions en milliers de francs";28679;"1000 francs";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"8";"Glarus";"Subventions (en francs) par hectare**";4118;"1000 Franken";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"9";"Zug";"Subventions en milliers de francs";31613;"1000 francs";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"9";"Zug";"Subventions (en francs) par hectare**";2991;"1000 Franken";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"10";"Freiburg";"Subventions en milliers de francs";198251;"1000 francs";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"10";"Freiburg";"Subventions (en francs) par hectare**";2638;"1000 Franken";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"11";"Solothurn";"Subventions en milliers de francs";77691;"1000 francs";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"11";"Solothurn";"Subventions (en francs) par hectare**";2484;"1000 Franken";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"12";"Basel-Stadt";"Subventions en milliers de francs";;"1000 francs";"O";"Fehlender Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"12";"Basel-Stadt";"Subventions (en francs) par hectare**";;"1000 Franken";"O";"Fehlender Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"13";"Basel-Landschaft";"Subventions en milliers de francs";53256;"1000 francs";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"13";"Basel-Landschaft";"Subventions (en francs) par hectare**";2444;"1000 Franken";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"14";"Schaffhausen";"Subventions en milliers de francs";33521;"1000 francs";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
"14";"Schaffhausen";"Subventions (en francs) par hectare**";2092;"1000 Franken";"A";"Normaler Wert";"";"2023-01-01/2023-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2023-11-09";"kant";"Cantons";"2022-01-01";"27356";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27356_fr.html"
