"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"1";"Zürich";"Subventions en milliers de francs";156479;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"1";"Zürich";"Subventions (en francs) par hectare**";2093;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"2";"Bern";"Subventions en milliers de francs";512252;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"2";"Bern";"Subventions (en francs) par hectare**";2672;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"3";"Luzern";"Subventions en milliers de francs";209315;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"3";"Luzern";"Subventions (en francs) par hectare**";2668;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"4";"Uri";"Subventions en milliers de francs";25544;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"4";"Uri";"Subventions (en francs) par hectare**";3731;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"5";"Schwyz";"Subventions en milliers de francs";76096;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"5";"Schwyz";"Subventions (en francs) par hectare**";3087;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"6";"Obwalden";"Subventions en milliers de francs";28328;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"6";"Obwalden";"Subventions (en francs) par hectare**";3530;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"7";"Nidwalden";"Subventions en milliers de francs";19793;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"7";"Nidwalden";"Subventions (en francs) par hectare**";3192;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"8";"Glarus";"Subventions en milliers de francs";23285;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"8";"Glarus";"Subventions (en francs) par hectare**";3183;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"9";"Zug";"Subventions en milliers de francs";26353;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"9";"Zug";"Subventions (en francs) par hectare**";2422;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"10";"Freiburg";"Subventions en milliers de francs";173920;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"10";"Freiburg";"Subventions (en francs) par hectare**";2273;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"11";"Solothurn";"Subventions en milliers de francs";69699;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"11";"Solothurn";"Subventions (en francs) par hectare**";2120;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"12";"Basel-Stadt";"Subventions en milliers de francs";;"1000 francs";"O";"Fehlender Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"12";"Basel-Stadt";"Subventions (en francs) par hectare**";;"1000 francs";"O";"Fehlender Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"13";"Basel-Landschaft";"Subventions en milliers de francs";51251;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"13";"Basel-Landschaft";"Subventions (en francs) par hectare**";2315;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"14";"Schaffhausen";"Subventions en milliers de francs";30569;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
"14";"Schaffhausen";"Subventions (en francs) par hectare**";1981;"1000 francs";"A";"Normaler Wert";"";"2006-01-01/2006-12-31";"BFS – Regionale Landwirtschaftliche Gesamtrechnung (R-LGR)";"2020-11-09";"kant";"Cantons";"1997-01-01";"10604";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/10604_fr.html"
